,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-Philippe,-21.3585,55.7679,82.4,78,75,2.3,RE,1610594927
1,Punta Arenas,-53.15,-70.9167,53.6,71,90,13.8,CL,1610594565
2,Lashio,22.9333,97.75,63.46,66,14,0.45,MM,1610594651
3,George Town,5.4112,100.3354,82.4,69,20,8.05,MY,1610594676
4,Genhe,50.7833,121.5167,-14.58,82,68,2.77,CN,1610594928
5,Rikitea,-23.1203,-134.9692,77.92,77,71,11.61,PF,1610594783
6,Nabire,-3.3667,135.4833,84.38,75,100,2.33,ID,1610594928
7,Tak Bai,6.2595,102.0546,82.4,74,20,10.36,TH,1610594928
8,Ushuaia,-54.8,-68.3,51.8,71,75,5.32,AR,1610594499
9,Betioky,-23.7167,44.3833,73.51,85,0,4.68,MG,1610594928
10,Cape Town,-33.9258,18.4232,70.0,77,0,6.91,ZA,1610594741
11,Petropavlovsk-Kamchatskiy,53.0452,158.6483,8.6,47,0,6.71,RU,1610594929
12,Castro,-24.7911,-50.0119,64.02,95,97,8.88,BR,1610594782
13,Nikolskoye,59.7035,30.7861,7.0,78,40,6.71,RU,1610594929
14,Am Timan,11.0297,20.2827,63.93,25,73,5.26,TD,1610594929
15,General Roca,-39.0333,-67.5833,73.4,60,0,9.22,AR,1610594929
16,Dikson,73.5069,80.5464,-29.18,83,0,7.54,RU,1610594929
17,Valdivia,-39.8142,-73.2459,48.2,100,79,3.44,CL,1610594929
18,Hobyo,5.3505,48.5268,76.08,77,66,20.42,SO,1610594929
19,Mossamedes,-15.1961,12.1522,71.85,69,100,3.02,AO,1610594930
20,Tasiilaq,65.6145,-37.6368,32.0,80,75,14.12,GL,1610594930
21,Beringovskiy,63.05,179.3167,-11.2,89,100,9.75,RU,1610594781
22,Mataura,-46.1927,168.8643,77.0,47,4,5.91,NZ,1610594779
23,Bambous Virieux,-20.3428,57.7575,81.0,83,40,5.75,MU,1610594930
24,Port Alfred,-33.5906,26.891,66.99,97,100,1.99,ZA,1610594930
25,Price,39.5994,-110.8107,19.4,68,1,4.61,US,1610594930
26,Port-Gentil,-0.7193,8.7815,78.24,81,98,9.06,GA,1610594930
27,Kingaroy,-26.5333,151.8333,86.0,39,40,6.91,AU,1610594930
28,Vaini,-21.2,-175.2,86.0,79,75,8.05,TO,1610594931
29,Batticaloa,7.7102,81.6924,78.19,87,96,2.59,LK,1610594931
30,Chokurdakh,70.6333,147.9167,-26.19,86,100,6.51,RU,1610594931
31,Shubarkuduk,49.1447,56.4872,2.8,89,91,21.88,KZ,1610594931
32,Te Anau,-45.4167,167.7167,75.25,40,1,6.02,NZ,1610594931
33,Vardø,70.3705,31.1107,21.43,96,100,18.86,NO,1610594931
34,Esterhazy,50.65,-102.0843,33.8,80,40,21.85,CA,1610594931
35,Souillac,-20.5167,57.5167,78.8,83,40,5.75,MU,1610594780
36,Tura,25.5198,90.2201,65.66,40,0,0.4,IN,1610594932
37,Kieta,-6.2167,155.6333,86.32,56,100,5.28,PG,1610594932
38,Cherskiy,68.75,161.3,-23.35,85,100,4.34,RU,1610594785
39,Riyadh,24.6877,46.7219,44.6,42,0,4.36,SA,1610594926
40,Upernavik,72.7868,-56.1549,10.24,96,100,16.24,GL,1610594850
41,Waingapu,-9.6567,120.2641,87.91,58,93,4.18,ID,1610594932
42,Qaanaaq,77.484,-69.3632,-2.6,78,0,4.52,GL,1610594932
43,Los Llanos de Aridane,28.6585,-17.9182,64.4,59,90,6.91,ES,1610594933
44,Hobart,-42.8794,147.3294,73.0,35,40,13.8,AU,1610594768
45,Porto-Vecchio,41.591,9.2795,53.6,76,90,16.11,FR,1610594933
46,Port Elizabeth,-33.918,25.5701,69.8,88,90,12.66,ZA,1610594779
47,Jamestown,42.097,-79.2353,37.99,75,1,8.05,US,1610594851
48,Dickinson,29.4608,-95.0513,48.0,75,1,8.05,US,1610594933
49,Sept-Îles,50.2001,-66.3821,23.0,86,100,4.61,CA,1610594933
50,Kharan,28.5833,65.4167,41.58,51,0,1.81,PK,1610594933
51,Salalah,17.0151,54.0924,71.6,28,0,12.66,OM,1610594933
52,Husavik,66.0449,-17.3389,39.2,70,90,13.44,IS,1610594934
53,Lompoc,34.6391,-120.4579,68.0,82,1,4.61,US,1610594934
54,Narrabri,-30.3167,149.7833,93.2,26,0,5.75,AU,1610594994
55,Longyearbyen,78.2186,15.6401,19.4,79,75,6.91,SJ,1610594994
56,Bandarbeyla,9.4942,50.8122,73.06,75,96,20.76,SO,1610594994
57,Constitución,-35.3333,-72.4167,52.79,79,0,10.02,CL,1610594852
58,Boffa,10.1667,-14.0333,71.58,89,0,2.13,GN,1610594995
59,Puerto Ayora,-0.7393,-90.3518,75.0,94,93,5.01,EC,1610594850
60,Saskylakh,71.9167,114.0833,-45.96,75,64,9.26,RU,1610594780
61,Porto-Novo,6.4965,2.6036,80.6,89,40,5.75,BJ,1610594995
62,Kalianget,-7.05,113.9333,84.27,72,100,3.91,ID,1610594706
63,Leshukonskoye,64.8989,45.7622,-16.2,86,74,3.4,RU,1610594995
64,Khatanga,71.9667,102.5,-36.38,82,96,12.17,RU,1610594781
65,Barrow,71.2906,-156.7887,-9.4,77,1,16.11,US,1610594702
66,Porto Velho,-8.7619,-63.9039,75.2,94,75,3.44,BR,1610594996
67,Ponta do Sol,32.6667,-17.1,51.01,58,93,1.99,PT,1610594996
68,Aklavik,68.2191,-135.0107,-14.8,84,100,4.63,CA,1610594996
69,Nanortalik,60.1432,-45.2371,29.05,94,100,10.4,GL,1610594783
70,Bluff,-46.6,168.3333,61.54,78,8,4.32,NZ,1610594780
71,Busselton,-33.65,115.3333,73.0,42,100,1.99,AU,1610594783
72,Coahuayana Viejo,18.7333,-103.6833,74.28,53,99,2.19,MX,1610594996
73,Hilo,19.7297,-155.09,80.6,57,1,8.12,US,1610594776
74,Isangel,-19.55,169.2667,82.4,94,75,9.22,VU,1610594997
75,Rodeo,38.033,-122.2669,60.8,72,1,5.75,US,1610594997
76,Lāharpur,27.7167,80.9,51.8,49,0,2.53,IN,1610594997
77,Laas,46.6166,10.7002,34.0,100,90,3.44,IT,1610594997
78,Thānesar,29.9833,76.8167,47.46,56,60,0.49,IN,1610594998
79,Pecos,31.4229,-103.4932,53.6,20,1,11.5,US,1610594998
80,Southbridge,42.0751,-72.0334,34.0,64,76,4.79,US,1610594998
81,Corralillo,22.9819,-80.5856,72.43,90,10,7.38,CU,1610594998
82,Mar del Plata,-38.0023,-57.5575,64.99,59,0,11.5,AR,1610594998
83,Airai,-8.9266,125.4092,75.56,75,100,1.95,TL,1610594785
84,Meulaboh,4.1363,96.1285,80.98,69,83,2.3,ID,1610594998
85,Bengkulu,-3.8004,102.2655,81.36,68,100,1.07,ID,1610594847
86,Margate,51.3813,1.3862,43.0,91,100,4.0,GB,1610594858
87,Malaya Vishera,58.8454,32.2222,2.37,91,100,7.94,RU,1610594999
88,Albany,42.6001,-73.9662,33.01,65,100,3.11,US,1610594571
89,Torbay,47.6666,-52.7314,30.0,93,90,6.91,CA,1610594999
90,Bethel,41.3712,-73.414,33.01,86,1,4.38,US,1610594999
91,Marsá Maţrūḩ,31.3525,27.2453,53.6,71,20,16.11,EG,1610594999
92,Vostok,46.4856,135.8833,1.11,90,100,7.11,RU,1610594999
93,Kultuk,51.7208,103.6956,0.84,84,92,5.3,RU,1610595000
94,Najrān,17.4924,44.1277,46.4,53,0,1.86,SA,1610595000
95,New Norfolk,-42.7826,147.0587,73.0,35,40,13.8,AU,1610594849
96,East London,-33.0153,27.9116,69.8,94,90,10.36,ZA,1610594918
97,Chingirlau,51.095,54.0814,4.62,91,89,21.79,KZ,1610595000
98,Birao,10.2849,22.7882,62.98,28,0,5.17,CF,1610595000
99,Port Macquarie,-31.4333,152.9167,91.0,48,0,14.5,AU,1610594981
100,Warin Chamrap,15.1932,104.8628,75.2,50,0,6.91,TH,1610595001
101,Hermanus,-34.4187,19.2345,70.0,86,86,5.01,ZA,1610595001
102,Naze,28.3667,129.4833,62.6,51,40,10.36,JP,1610595001
103,Ambulu,-8.345,113.6058,82.56,78,100,5.95,ID,1610595001
104,Ribeira Grande,38.5167,-28.7,62.87,85,71,17.72,PT,1610594781
105,Berezovyy,51.6667,135.7,-0.98,84,87,1.61,RU,1610595002
106,Benjamín Hill,30.1667,-111.1,57.0,45,0,5.99,MX,1610595003
107,Hithadhoo,-0.6,73.0833,82.13,75,51,20.58,MV,1610595003
108,Neiafu,-18.65,-173.9833,86.0,74,40,10.36,TO,1610595004
109,Galveston,29.3669,-94.9669,55.99,62,1,8.05,US,1610595064
110,Kapaa,22.0752,-159.319,75.2,78,20,18.41,US,1610594779
111,Omboué,-1.5746,9.2618,72.81,92,99,4.16,GA,1610595064
112,Vila,42.0304,-8.1588,44.01,93,20,5.75,PT,1610595064
113,Hamilton,39.1834,-84.5333,41.0,60,90,10.36,US,1610594594
114,Verkhov'ye,52.8119,37.2425,28.85,99,100,13.27,RU,1610595065
115,Mlonggo,-6.5333,110.7,84.2,70,40,5.75,ID,1610595065
116,Marsabit,2.3284,37.9899,65.35,55,1,9.37,KE,1610595065
117,Guane,22.2025,-84.0875,70.61,91,51,2.73,CU,1610595065
118,Takoradze,4.8845,-1.7554,78.15,88,85,6.55,GH,1610595065
119,Vícar,36.8316,-2.6427,41.0,87,0,1.14,ES,1610595066
120,Horsham,51.064,-0.3272,50.0,93,75,5.75,GB,1610595026
121,Oranjemund,-28.55,16.4333,65.53,88,14,5.55,NA,1610595066
122,Leningradskiy,69.3833,178.4167,-6.43,90,100,1.45,RU,1610595066
123,Tuktoyaktuk,69.4541,-133.0374,-11.2,77,75,2.1,CA,1610594779
124,Greenville,35.6127,-77.3663,39.99,93,1,6.51,US,1610595066
125,Rosita,13.9268,-84.4032,68.13,88,55,3.0,NI,1610595066
126,Shimoda,34.6667,138.95,57.2,54,0,8.05,JP,1610595067
127,Saint Paul Harbor,57.79,-152.4072,33.8,86,75,3.44,US,1610595067
128,Ancud,-41.8697,-73.8203,51.01,87,0,2.3,CL,1610594782
129,Brae,60.3964,-1.353,39.2,60,75,20.71,GB,1610595067
130,Maceió,-9.6658,-35.7353,73.4,94,0,3.44,BR,1610595067
131,Opotiki,-38.0833,177.2833,81.0,50,0,13.0,NZ,1610595067
132,Songjianghe,42.1859,127.479,15.67,74,27,6.08,CN,1610595067
133,Hofn,64.2539,-15.2082,42.71,88,100,24.0,IS,1610595068
134,Wewak,-3.5534,143.6268,85.93,67,98,7.09,PG,1610595068
135,Arraial do Cabo,-22.9661,-42.0278,75.49,89,15,18.28,BR,1610595068
136,Cayenne,4.9333,-52.3333,78.8,83,75,6.91,GF,1610594853
137,Kaitangata,-46.2817,169.8464,64.0,78,34,13.0,NZ,1610594853
138,Balabac,7.9868,117.0645,82.96,75,100,13.2,PH,1610595068
139,La Ronge,55.1001,-105.2842,30.2,93,100,11.5,CA,1610595068
140,Caravelas,-17.7125,-39.2481,74.21,86,0,4.81,BR,1610595069
141,Mana,5.6592,-53.7767,76.53,86,82,10.89,GF,1610595070
142,Ilulissat,69.2167,-51.1,24.8,86,90,13.8,GL,1610595070
143,Grindavik,63.8424,-22.4338,39.2,87,20,13.8,IS,1610595070
144,Atuona,-9.8,-139.0333,77.83,77,10,13.09,PF,1610595070
145,Noumea,-22.2763,166.4572,80.6,89,75,16.11,NC,1610595070
146,Nanticoke,41.2054,-76.0049,35.01,88,100,4.41,US,1610595070
147,Lavrentiya,65.5833,-171.0,-1.79,91,100,3.83,RU,1610595071
148,Kafue,-15.7691,28.1814,68.0,100,0,4.61,ZM,1610595071
149,Edgewater,28.9889,-80.9023,52.0,93,75,6.8,US,1610595071
150,Katsuura,35.1333,140.3,55.4,50,20,9.22,JP,1610594850
151,Boo,59.3333,18.2833,28.99,100,90,9.22,SE,1610594965
152,Province of Mantua,45.1667,10.7833,28.0,92,0,1.01,IT,1610595071
153,Bismarck,46.8083,-100.7837,44.01,81,75,11.5,US,1610595071
154,Pandan,14.0453,124.1694,76.68,94,100,11.21,PH,1610595071
155,Zhigansk,66.7697,123.3711,-41.01,79,73,10.89,RU,1610595072
156,Frontera,26.9333,-101.45,62.01,20,0,5.99,MX,1610595072
157,Vanimo,-2.6741,141.3028,84.06,77,93,6.17,PG,1610595072
158,Palmer,42.1584,-72.3287,34.0,64,90,4.61,US,1610595072
159,Lata,40.1629,-8.3327,45.0,92,1,2.71,PT,1610595072
160,Yulara,-25.2406,130.9889,102.2,13,0,10.36,AU,1610595073
161,Yellowknife,62.456,-114.3525,12.2,92,90,9.22,CA,1610595115
162,Tessaoua,13.7574,7.9874,62.46,29,1,9.86,NE,1610595133
163,Carnarvon,-24.8667,113.6333,86.0,70,45,14.97,AU,1610595052
164,North Platte,41.1239,-100.7654,53.6,43,1,19.57,US,1610595133
165,Saint-Louis,16.3333,-15.0,69.8,43,0,2.3,SN,1610595133
166,Esperance,-33.8667,121.9,69.8,40,100,14.97,AU,1610595105
167,Te Kauwhata,-37.4,175.15,82.0,52,54,11.99,NZ,1610595134
168,Kangaatsiaq,68.3065,-53.4641,18.39,96,99,11.5,GL,1610595134
169,Khāsh,28.2211,61.2158,43.9,31,0,2.86,IR,1610595134
170,Garden City,42.3256,-83.331,39.2,75,75,11.5,US,1610595134
171,Saint George,37.1041,-113.5841,44.6,21,1,2.62,US,1610595045
172,Namtsy,62.7161,129.6658,-58.0,57,90,1.97,RU,1610595135
173,Serik,36.9169,31.0989,55.0,66,75,5.75,TR,1610595135
174,California City,35.1258,-117.9859,54.0,33,1,2.13,US,1610595135
175,Vågåmo,61.8751,9.0967,8.71,69,0,1.57,NO,1610595135
176,Suamico,44.6319,-88.0393,28.0,86,20,2.71,US,1610595136
177,Saint-Augustin,51.226,-58.6502,20.03,92,67,6.17,CA,1610595111
178,Viedma,-40.8135,-62.9967,66.99,71,83,1.01,AR,1610595030
179,Aripuanã,-9.1667,-60.6333,73.44,99,100,0.98,BR,1610595137
180,Río Gallegos,-51.6226,-69.2181,51.8,66,0,4.61,AR,1610595137
181,Avarua,-21.2078,-159.775,84.2,70,75,18.41,CK,1610595045
182,Kviteseid,59.4022,8.4927,12.99,88,0,4.12,NO,1610595137
183,Thompson,55.7435,-97.8558,26.6,100,90,3.44,CA,1610594782
184,Camargo,27.6667,-105.1667,48.13,44,0,3.62,MX,1610595137
185,Kamennogorsk,60.9545,29.1339,3.99,69,100,3.0,RU,1610595138
186,Kirakira,-10.4544,161.9205,85.03,69,100,9.33,SB,1610595138
187,Comodoro Rivadavia,-45.8667,-67.5,59.0,88,0,9.55,AR,1610595138
188,Opuwo,-18.0607,13.84,66.0,56,99,3.85,NA,1610595138
189,Pauini,-7.7136,-66.9764,75.6,95,99,1.34,BR,1610595138
190,Butaritari,3.0707,172.7902,81.43,77,64,18.45,KI,1610594778
191,Vkhodnoy,54.9518,73.1711,-0.4,71,75,4.47,RU,1610595138
192,Taoudenni,22.6783,-3.9836,56.5,36,0,15.19,ML,1610595140
193,Luganville,-15.5333,167.1667,85.28,75,96,8.72,VU,1610595140
194,Lamont,35.2597,-118.9143,54.0,54,1,3.44,US,1610595140
195,Bredasdorp,-34.5322,20.0403,68.0,88,100,11.5,ZA,1610594784
196,Tautira,-17.7333,-149.15,87.8,62,40,4.61,PF,1610595141
197,Broken Hill,-31.95,141.4333,80.6,24,0,14.97,AU,1610595142
198,Celestún,20.8667,-90.4,71.37,82,72,15.01,MX,1610595142
199,Harper,4.375,-7.7169,77.04,87,95,8.1,LR,1610595142
200,Anloga,5.7947,0.8973,78.8,89,20,4.61,GH,1610595142
201,Honningsvåg,70.9821,25.9704,36.3,82,100,18.54,NO,1610595142
202,Mahibadhoo,3.7833,72.9667,81.39,80,68,13.18,MV,1610595142
203,Águilas,37.4063,-1.5829,39.0,68,0,1.99,ES,1610595121
204,Terrace,54.5163,-128.6035,33.8,93,75,17.27,CA,1610595143
205,Yar-Sale,66.8333,70.8333,2.14,90,96,14.34,RU,1610595143
206,Grand-Lahou,5.1367,-5.0242,78.55,85,0,9.01,CI,1610595143
207,Nisko,50.5199,22.1397,30.0,94,95,1.54,PL,1610595143
208,Kavieng,-2.5744,150.7967,85.23,70,87,14.23,PG,1610595143
209,Kaduna,10.5222,7.4383,63.91,25,0,9.13,NG,1610595143
210,Cabo San Lucas,22.8909,-109.9124,62.6,67,1,4.61,MX,1610594952
211,Ayr,55.4627,-4.6339,37.4,100,90,6.91,GB,1610595144
212,Smithers,54.7804,-127.1743,24.8,80,75,2.3,CA,1610595144
213,Norman Wells,65.282,-126.8329,1.4,85,90,9.22,CA,1610594852
214,Gazli,40.1333,63.45,32.83,88,0,17.47,UZ,1610595204
215,Indiaroba,-11.5192,-37.5117,73.62,90,58,3.13,BR,1610595204
216,Jiazi,22.8779,116.067,63.25,35,0,9.71,CN,1610595204
217,Tiassalé,5.8983,-4.8283,72.79,95,0,2.24,CI,1610595205
218,Mocuba,-16.8392,36.9856,75.33,94,100,3.6,MZ,1610595205
219,Wasilla,61.5814,-149.4394,30.2,59,75,8.05,US,1610595205
220,Chiungutwa,-10.8833,38.9833,71.38,93,29,2.01,TZ,1610595205
221,Zhigalovo,54.8097,105.1578,-11.38,85,100,3.62,RU,1610595205
222,Arinos,-15.9169,-46.1056,71.26,91,100,1.45,BR,1610595205
223,Mokhotlong,-29.2894,29.0675,55.85,82,90,1.39,LS,1610595205
224,Mahébourg,-20.4081,57.7,78.8,83,40,5.75,MU,1610594781
225,Teshie,5.5836,-0.1072,80.6,89,75,10.36,GH,1610595206
226,Provideniya,64.3833,-173.3,3.2,72,75,4.47,RU,1610595206
227,Puerto Escondido,15.85,-97.0667,75.2,88,40,3.44,MX,1610595206
228,São Filipe,14.8961,-24.4956,71.31,73,63,11.5,CV,1610595206
229,Liberal,37.0431,-100.921,39.2,60,1,3.44,US,1610595206
230,Niigata,37.9022,139.0236,42.8,75,75,21.85,JP,1610595206
231,Madarounfa,13.3087,7.156,63.72,27,0,11.32,NE,1610595207
232,San Policarpo,12.1791,125.5072,83.3,70,18,6.08,PH,1610595207
233,Awjilah,29.1081,21.2869,51.96,65,53,16.08,LY,1610595207
234,Ketchikan,55.3422,-131.6461,39.2,93,90,6.91,US,1610595207
235,Svirstroy,60.7999,33.7248,-10.77,88,89,7.61,RU,1610595207
236,Lancaster,40.2504,-76.2499,36.0,69,1,3.44,US,1610595030
237,Haines Junction,60.7522,-137.5108,5.0,92,33,3.44,CA,1610595119
238,Ranong,9.9658,98.6348,82.4,74,20,9.22,TH,1610595207
239,Crowley,30.2141,-92.3746,42.01,89,0,6.91,US,1610595208
240,Biloela,-24.4167,150.5,91.42,27,0,13.78,AU,1610595208
241,Sulangan,11.1373,123.7228,80.55,86,27,11.23,PH,1610595208
